winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Gonzaga,Gonzaga,Purdue,Illinois,Michigan,Purdue,Gonzaga,-3.2393750000000003,24.0
Gonzaga,Gonzaga,Villanova,Illinois,Alabama,Villanova,Gonzaga,-3.2528947368421055,19.0
Michigan,Michigan,Houston,Houston,Michigan,Ohio State,Iowa,-3.333928571428572,14.0
Gonzaga,Gonzaga,Ohio State,Oklahoma State,Texas,Ohio State,Gonzaga,-3.3428571428571425,14.0
Houston,Gonzaga,Houston,Houston,Florida State,Baylor,Gonzaga,-3.499642857142858,14.0
Ohio State,Michigan,Ohio State,Houston,Michigan,Ohio State,Gonzaga,-3.504411764705883,17.0
Ohio State,Alabama,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,-3.553809523809523,21.0
Gonzaga,Gonzaga,Tennessee,Tennessee,Michigan,Baylor,Gonzaga,-3.599523809523809,21.0
Ohio State,Michigan,Ohio State,Illinois,Michigan,Ohio State,Iowa,-3.6200000000000006,15.0
Houston,Michigan,Houston,Houston,Michigan,Baylor,Gonzaga,-3.7193181818181817,22.0
Michigan,Michigan,Houston,Houston,Michigan,Ohio State,Gonzaga,-3.7325000000000004,16.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Alabama,Ohio State,Gonzaga,-3.744782608695652,23.0
Michigan,Michigan,Baylor,Illinois,Michigan,Baylor,Gonzaga,-3.8176333333333345,150.0
Houston,Gonzaga,Houston,Houston,Texas,Baylor,Gonzaga,-3.8746875000000003,32.0
Michigan,Michigan,Baylor,Illinois,Michigan,Baylor,Iowa,-4.0539130434782615,46.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Michigan,Ohio State,Gonzaga,-4.199404761904763,42.0
Alabama,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,-4.222941176470589,68.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Texas,Ohio State,Gonzaga,-4.26625,12.0
Gonzaga,Gonzaga,Baylor,Georgia Tech,Texas,Baylor,Gonzaga,-4.281818181818181,11.0
Gonzaga,Gonzaga,Oklahoma State,Oklahoma State,Alabama,Ohio State,Gonzaga,-4.428571428571429,21.0
Ohio State,Gonzaga,Ohio State,Houston,Alabama,Ohio State,Gonzaga,-4.480384615384616,13.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Texas,Baylor,Gonzaga,-4.52125,20.0
Michigan,Michigan,Illinois,Illinois,Michigan,Baylor,Kansas,-4.5315217391304365,23.0
