winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Gonzaga,Gonzaga,Illinois,Illinois,Brigham Young,Baylor,Gonzaga,2.014545454545454,22.0
Gonzaga,Gonzaga,Baylor,Tennessee,Texas,Baylor,Gonzaga,1.9937500000000001,16.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Villanova,Gonzaga,1.9917647058823529,17.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Texas Tech,Gonzaga,1.8559999999999994,15.0
Baylor,Gonzaga,Baylor,Drexel,Michigan,Baylor,Gonzaga,1.7466666666666673,12.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Purdue,Gonzaga,1.609166666666667,24.0
Illinois,Virginia,Illinois,Illinois,Michigan,Baylor,Virginia,1.5910000000000002,20.0
Alabama,Alabama,Illinois,Illinois,Alabama,Ohio State,Iowa,1.4346666666666665,15.0
Gonzaga,Gonzaga,Baylor,San Diego State,Michigan,Baylor,Gonzaga,1.21047619047619,21.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Wisconsin,Gonzaga,1.1799999999999997,14.0
Gonzaga,Gonzaga,Ohio State,West Virginia,Florida State,Ohio State,Gonzaga,1.178666666666666,15.0
Illinois,Michigan,Illinois,Illinois,Michigan,Villanova,Gonzaga,1.158461538461538,13.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,North Carolina,Gonzaga,1.070769230769231,13.0
Ohio State,Michigan,Ohio State,Houston,Michigan,Ohio State,Gonzaga,0.9776470588235293,17.0
Gonzaga,Gonzaga,Ohio State,Tennessee,Michigan,Ohio State,Gonzaga,0.9752380952380946,21.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Texas Tech,Gonzaga,0.9662499999999999,16.0
Alabama,Alabama,Illinois,Illinois,Alabama,Baylor,Iowa,0.9428571428571431,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,North Carolina,Gonzaga,0.8921428571428572,28.0
Ohio State,Gonzaga,Ohio State,West Virginia,Michigan,Ohio State,Gonzaga,0.8333333333333338,12.0
Ohio State,Michigan,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,0.7451282051282052,39.0
Ohio State,Gonzaga,Ohio State,Oklahoma State,Michigan,Ohio State,Gonzaga,0.676363636363636,22.0
Illinois,Texas,Illinois,Illinois,Texas,Ohio State,Gonzaga,0.5551999999999998,25.0
Alabama,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,0.47588235294117665,68.0
Alabama,Alabama,Illinois,Illinois,Alabama,Baylor,Gonzaga,0.46486486486486467,37.0
Ohio State,Gonzaga,Ohio State,Oklahoma State,Alabama,Ohio State,Gonzaga,0.38545454545454516,11.0
Ohio State,Texas,Ohio State,Illinois,Texas,Ohio State,Gonzaga,0.3709090909090904,11.0
Gonzaga,Gonzaga,Illinois,Illinois,Louisiana State,Ohio State,Gonzaga,0.2637499999999995,16.0
Illinois,Kansas,Illinois,Illinois,Michigan,Ohio State,Kansas,0.11789473684210537,19.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Villanova,Gonzaga,0.11714285714285719,14.0
Illinois,Kansas,Illinois,Illinois,Florida State,Baylor,Kansas,0.10181818181818159,11.0
Gonzaga,Gonzaga,Baylor,Tennessee,Alabama,Baylor,Gonzaga,0.08086956521739143,23.0
Gonzaga,Gonzaga,Illinois,Illinois,Louisiana State,Baylor,Gonzaga,-0.1354285714285713,35.0
Alabama,Alabama,Baylor,Illinois,Alabama,Baylor,Iowa,-0.2726315789473682,19.0
Gonzaga,Gonzaga,Baylor,Tennessee,Michigan,Baylor,Gonzaga,-0.5883333333333334,36.0
Gonzaga,Gonzaga,Ohio State,Oklahoma State,Michigan,Ohio State,Gonzaga,-0.7162500000000002,48.0
Alabama,Alabama,Baylor,Illinois,Alabama,Baylor,Kansas,-0.856923076923077,13.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Arkansas,Gonzaga,-0.8933333333333332,18.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Arkansas,Gonzaga,-1.1119999999999997,20.0
Gonzaga,Gonzaga,Baylor,Illinois,Connecticut,Baylor,Gonzaga,-1.2066666666666663,27.0
Gonzaga,Gonzaga,Ohio State,West Virginia,Alabama,Ohio State,Gonzaga,-1.2609523809523813,21.0
Gonzaga,Gonzaga,Baylor,West Virginia,Michigan,Baylor,Gonzaga,-1.2878431372549024,102.0
Michigan,Michigan,Houston,Houston,Michigan,Ohio State,Gonzaga,-1.3225,16.0
Alabama,Alabama,Baylor,Houston,Alabama,Baylor,Gonzaga,-1.6008695652173912,23.0
Ohio State,Iowa,Ohio State,Illinois,Alabama,Ohio State,Iowa,-1.7114285714285715,14.0
Gonzaga,Gonzaga,Ohio State,Oklahoma State,Alabama,Ohio State,Gonzaga,-1.8400000000000003,27.0
Gonzaga,Gonzaga,Baylor,Houston,Brigham Young,Baylor,Gonzaga,-1.9333333333333333,12.0
Gonzaga,Gonzaga,Baylor,Tennessee,Florida State,Baylor,Gonzaga,-1.9909090909090907,11.0
Gonzaga,Gonzaga,Purdue,Illinois,Michigan,Purdue,Gonzaga,-2.0366666666666675,24.0
Gonzaga,Gonzaga,Baylor,Illinois,Maryland,Baylor,Gonzaga,-2.1816666666666666,12.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Villanova,Gonzaga,-2.2663829787234047,47.0
Gonzaga,Gonzaga,Baylor,Illinois,Louisiana State,Baylor,Gonzaga,-2.4092857142857143,28.0
Ohio State,Michigan,Ohio State,Illinois,Michigan,Ohio State,Iowa,-2.4933333333333336,15.0
Gonzaga,Gonzaga,Baylor,Illinois,Brigham Young,Baylor,Gonzaga,-2.564705882352941,34.0
Gonzaga,Gonzaga,Arkansas,Houston,Michigan,Arkansas,Gonzaga,-2.615,12.0
Michigan,Michigan,Houston,Houston,Michigan,Baylor,Iowa,-2.635714285714286,14.0
Gonzaga,Gonzaga,Ohio State,Oklahoma State,Florida State,Ohio State,Gonzaga,-2.821428571428572,14.0
Gonzaga,Gonzaga,Baylor,West Virginia,Texas,Baylor,Gonzaga,-2.9863636363636377,44.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Villanova,Gonzaga,-2.9899999999999998,12.0
Michigan,Michigan,Baylor,Houston,Michigan,Baylor,Gonzaga,-3.1973584905660375,53.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Alabama,Baylor,Gonzaga,-3.199333333333333,30.0
Michigan,Michigan,Houston,Houston,Michigan,Ohio State,Iowa,-3.2385714285714284,14.0
Gonzaga,Gonzaga,Tennessee,Tennessee,Michigan,Ohio State,Gonzaga,-3.245333333333333,15.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Michigan,Baylor,Gonzaga,-3.3454054054054057,37.0
Gonzaga,Gonzaga,Ohio State,Oklahoma State,Texas,Ohio State,Gonzaga,-3.494285714285714,14.0
Michigan,Michigan,Illinois,Illinois,Michigan,Ohio State,Gonzaga,-3.5193684210526324,95.0
Michigan,Michigan,Houston,Houston,Michigan,Baylor,Gonzaga,-3.536585365853659,41.0
Gonzaga,Gonzaga,Baylor,Loyola (IL),Michigan,Baylor,Gonzaga,-3.598749999999999,16.0
Michigan,Michigan,Baylor,Illinois,Michigan,Baylor,Gonzaga,-3.654933333333334,150.0
Gonzaga,Gonzaga,Texas Tech,Illinois,Alabama,Texas Tech,Gonzaga,-3.6706666666666665,15.0
Gonzaga,Gonzaga,Purdue,Illinois,Alabama,Purdue,Gonzaga,-3.7276923076923065,13.0
Michigan,Michigan,Illinois,Illinois,Michigan,Ohio State,Iowa,-3.8512500000000003,32.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,North Carolina,Gonzaga,-3.908235294117647,17.0
Gonzaga,Gonzaga,Arkansas,Illinois,Alabama,Arkansas,Gonzaga,-3.9399999999999995,17.0
Michigan,Michigan,Ohio State,Illinois,Michigan,Ohio State,Iowa,-3.971111111111112,18.0
Michigan,Michigan,Baylor,Houston,Michigan,Baylor,Iowa,-4.075238095238095,21.0
