pool_id,bracket_id,Win Frequency,Cash Frequency,EV,1sigma,f4w,f4e,f4mw,f4s,f1,f2,winner
83,18,0.07,0.17,15.0,39.0,Iowa,Alabama,Oklahoma State,Baylor,Iowa,Oklahoma State,Iowa
83,23,0.06,0.18,14.0,38.0,Gonzaga,Alabama,Illinois,Baylor,Alabama,Illinois,Illinois
83,7,0.05,0.23,14.0,35.0,Gonzaga,Alabama,Illinois,Ohio State,Gonzaga,Ohio State,Gonzaga
83,11,0.06,0.19,14.0,37.0,Gonzaga,Michigan,Illinois,Ohio State,Michigan,Illinois,Michigan
83,3,0.04,0.22,13.0,34.0,Gonzaga,Michigan,Illinois,Ohio State,Gonzaga,Ohio State,Gonzaga
83,21,0.03,0.18,11.0,30.0,Gonzaga,Texas,Illinois,Winthrop,Gonzaga,Illinois,Gonzaga
83,10,0.03,0.14,9.0,28.0,Gonzaga,Louisiana State,Houston,Ohio State,Gonzaga,Houston,Gonzaga
83,1,0.03,0.13,9.0,29.0,Gonzaga,Florida State,Illinois,Winthrop,Gonzaga,Illinois,Illinois
83,13,0.03,0.14,8.0,27.0,Gonzaga,Michigan,West Virginia,Baylor,Michigan,West Virginia,Michigan
83,15,0.02,0.17,8.0,24.0,Gonzaga,Texas,West Virginia,Ohio State,Gonzaga,Ohio State,Gonzaga
83,16,0.02,0.07,6.0,26.0,Kansas,Alabama,San Diego State,Baylor,Alabama,San Diego State,Alabama
83,24,0.01,0.06,4.0,19.0,Gonzaga,Alabama,Loyola (IL),Ohio State,Gonzaga,Ohio State,Gonzaga
83,8,0.01,0.07,4.0,20.0,Gonzaga,Michigan,West Virginia,Arkansas,Gonzaga,Arkansas,Arkansas
83,14,0.01,0.06,3.0,17.0,Gonzaga,St. Bonaventure,Illinois,Texas Tech,Gonzaga,Texas Tech,Gonzaga
83,20,0.0,0.04,2.0,12.0,Gonzaga,Alabama,Syracuse,Baylor,Alabama,Syracuse,Syracuse
83,9,0.01,0.02,2.0,13.0,Gonzaga,Texas,West Virginia,Florida,Gonzaga,Florida,Florida
83,19,0.0,0.02,1.0,10.0,Iowa,Brigham Young,Oklahoma State,Ohio State,Brigham Young,Oklahoma State,Oklahoma State
83,5,0.0,0.02,1.0,10.0,Missouri,Alabama,West Virginia,Arkansas,Alabama,Arkansas,Arkansas
83,12,0.01,0.02,1.0,12.0,Kansas,Alabama,West Virginia,North Carolina,Alabama,North Carolina,North Carolina
84,18,0.11,0.41,30.0,48.0,Gonzaga,Florida State,Illinois,Baylor,Gonzaga,Baylor,Gonzaga
84,23,0.12,0.38,29.0,50.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Illinois,Gonzaga
84,9,0.07,0.31,21.0,42.0,Gonzaga,Alabama,Illinois,Baylor,Gonzaga,Baylor,Baylor
84,13,0.07,0.26,18.0,40.0,Gonzaga,Florida State,Illinois,Arkansas,Gonzaga,Illinois,Gonzaga
84,0,0.06,0.23,16.0,39.0,Gonzaga,Texas,Tennessee,Baylor,Gonzaga,Baylor,Baylor
84,17,0.06,0.23,16.0,39.0,Iowa,Michigan,Illinois,Ohio State,Michigan,Illinois,Michigan
84,12,0.05,0.24,15.0,36.0,Gonzaga,Michigan,Illinois,Purdue,Michigan,Illinois,Michigan
84,15,0.04,0.25,14.0,34.0,Gonzaga,Alabama,Illinois,Baylor,Gonzaga,Baylor,Baylor
84,8,0.06,0.2,14.0,37.0,Gonzaga,Alabama,Illinois,Ohio State,Gonzaga,Ohio State,Gonzaga
84,14,0.05,0.19,13.0,36.0,Iowa,Michigan,Houston,Baylor,Iowa,Baylor,Baylor
84,5,0.04,0.18,12.0,32.0,Gonzaga,Michigan,Illinois,Villanova,Gonzaga,Illinois,Gonzaga
84,2,0.05,0.14,11.0,34.0,Iowa,Michigan,Houston,Purdue,Iowa,Purdue,Purdue
84,19,0.04,0.16,11.0,32.0,Gonzaga,Florida State,Illinois,Baylor,Florida State,Illinois,Florida State
84,21,0.03,0.15,9.0,28.0,Gonzaga,Michigan,West Virginia,Baylor,Gonzaga,Baylor,Baylor
84,16,0.02,0.13,7.0,23.0,Gonzaga,Michigan,Illinois,Baylor,Michigan,Illinois,Michigan
84,6,0.02,0.09,6.0,23.0,Gonzaga,Michigan,Loyola (IL),Baylor,Gonzaga,Loyola (IL),Gonzaga
84,3,0.02,0.07,5.0,21.0,Gonzaga,Texas,West Virginia,Ohio State,Gonzaga,West Virginia,West Virginia
84,22,0.02,0.08,5.0,21.0,Gonzaga,Texas,Oklahoma State,Baylor,Texas,Baylor,Texas
84,7,0.02,0.08,5.0,23.0,Gonzaga,Alabama,Oklahoma State,Arkansas,Gonzaga,Oklahoma State,Gonzaga
84,10,0.02,0.08,5.0,23.0,Virginia,Michigan,Illinois,Baylor,Michigan,Baylor,Michigan
84,11,0.01,0.07,4.0,20.0,Gonzaga,Michigan,West Virginia,Ohio State,Michigan,Ohio State,Michigan
84,24,0.01,0.04,2.0,15.0,Kansas,Florida State,Tennessee,Baylor,Kansas,Baylor,Baylor
84,1,0.0,0.02,1.0,12.0,Kansas,Michigan,Loyola (IL),Baylor,Kansas,Baylor,Baylor
